from_id	from_orient	to_id	to_orient	overlap
0	+	0	-	30M
0	+	2	-	30M
0	-	0	+	30M
0	-	1	-	30M
1	+	0	+	30M
1	+	1	-	30M
2	+	0	-	30M
2	+	2	-	30M
2	-	3	+	30M
3	+	3	-	30M
3	-	2	+	30M
3	-	4	+	30M
4	+	4	-	30M
4	-	3	+	30M
